TIME,TEMP,HUM,SOIL,PUMP,FAN,LED
2026-05-23 22:32:23.800107,25.0,60.0,100,0,0,0
2026-05-23 22:32:24.806214,26.0,60.0,100,0,0,0
2026-05-23 22:32:25.806608,26.0,60.0,100,0,0,0
2026-05-23 22:32:27.422938,25.0,60.0,100,0,0,0
2026-05-23 22:32:28.400949,25.0,60.0,100,0,0,0
2026-05-23 22:32:29.387976,25.0,60.0,100,0,0,0
2026-05-23 22:32:30.496702,25.0,60.0,100,0,0,0
2026-05-23 22:32:31.545053,25.0,60.0,100,0,0,0
2026-05-23 22:32:32.612211,25.0,60.0,100,0,0,40
2026-05-23 22:32:33.591003,25.0,60.0,99,0,0,90
2026-05-23 22:32:34.766652,25.0,60.0,100,0,0,61
2026-05-23 22:32:35.810418,25.0,60.0,100,0,0,91
2026-05-23 22:32:36.816066,25.0,60.0,100,0,0,91
2026-05-23 22:32:37.869713,25.0,60.0,100,0,0,91
2026-05-23 22:32:39.057404,25.0,60.0,99,0,0,82
2026-05-23 22:32:40.256377,25.0,60.0,100,0,0,75
2026-05-23 22:32:41.568293,25.0,60.0,100,0,0,82
2026-05-23 22:32:42.183208,25.0,60.0,100,0,0,93
2026-05-23 22:32:43.263664,25.0,60.0,99,0,0,93
2026-05-23 22:32:44.240517,25.0,60.0,100,0,0,93
2026-05-23 22:32:45.308198,25.0,60.0,100,0,0,93
2026-05-23 22:32:46.286208,25.0,60.0,100,0,0,93
2026-05-23 22:32:47.341754,25.0,60.0,99,0,0,93
2026-05-23 22:32:48.359472,25.0,60.0,100,0,0,93
2026-05-23 22:32:49.366547,25.0,60.0,100,0,0,93
2026-05-23 22:32:50.404989,25.0,60.0,99,0,0,93
2026-05-23 22:32:51.398521,25.0,60.0,100,0,0,93
2026-05-23 22:32:52.423201,25.0,60.0,100,0,0,93
2026-05-23 22:32:53.432866,25.0,60.0,99,0,0,93
2026-05-23 22:32:54.422391,25.0,60.0,100,0,0,93
2026-05-23 22:32:55.439484,25.0,60.0,99,0,0,93
2026-05-23 22:32:56.504430,25.0,60.0,100,0,0,93
2026-05-23 22:32:57.508528,25.0,60.0,100,0,0,93
2026-05-23 22:32:58.527040,25.0,60.0,100,0,0,93
2026-05-23 22:32:59.545812,25.0,60.0,99,0,0,93
2026-05-23 22:33:00.547984,25.0,60.0,100,0,0,93
2026-05-23 22:33:01.544045,25.0,60.0,99,0,0,93
2026-05-23 22:33:02.558941,25.0,60.0,100,0,0,93
2026-05-23 22:33:03.602916,25.0,60.0,100,0,0,93
2026-05-23 22:33:04.600209,25.0,60.0,100,0,0,93
2026-05-23 22:33:05.622871,25.0,60.0,99,0,0,93
2026-05-23 22:33:06.651679,25.0,60.0,100,0,0,93
2026-05-23 22:33:07.703103,25.0,60.0,99,0,0,93
2026-05-23 22:33:08.701562,25.0,60.0,100,0,0,93
2026-05-23 22:33:09.713388,25.0,60.0,99,0,0,93
2026-05-23 22:33:10.715194,25.0,60.0,100,0,0,93
2026-05-23 22:33:11.712268,25.0,60.0,100,0,0,93
2026-05-23 22:33:12.728127,25.0,60.0,100,0,0,93
2026-05-23 22:33:13.733093,25.0,60.0,99,0,0,93
2026-05-23 22:33:14.759163,25.0,60.0,100,0,0,93
2026-05-23 22:33:15.843262,25.0,60.0,99,0,0,93
2026-05-23 22:33:16.840199,25.0,60.0,100,0,0,93
2026-05-23 22:33:17.865643,25.0,60.0,100,0,0,93
2026-05-23 22:33:18.857340,25.0,60.0,100,0,0,93
2026-05-23 22:33:19.879349,25.0,60.0,99,0,0,93
2026-05-23 22:33:20.905264,25.0,60.0,100,0,0,93
2026-05-23 22:33:21.946995,25.0,60.0,99,0,0,93
2026-05-23 22:33:22.934927,25.0,60.0,100,0,0,93
2026-05-23 22:33:23.969452,25.0,60.0,100,0,0,93
2026-05-23 22:33:24.969832,25.0,60.0,100,0,0,93
2026-05-23 22:33:26.073795,25.0,60.0,99,0,0,93
2026-05-23 22:33:27.000977,25.0,60.0,100,0,0,93
2026-05-23 22:33:28.022252,25.0,60.0,99,0,0,93
2026-05-23 22:33:29.045142,25.0,60.0,100,0,0,93
2026-05-23 22:33:30.054650,25.0,60.0,100,0,0,93
2026-05-23 22:33:31.049857,25.0,60.0,100,0,0,93
2026-05-23 22:33:32.068452,25.0,60.0,99,0,0,93
2026-05-23 22:33:33.066499,25.0,60.0,100,0,0,93
2026-05-23 22:33:34.099682,25.0,60.0,100,0,0,93
2026-05-23 22:33:35.137958,25.0,60.0,100,0,0,93
2026-05-23 22:33:36.127703,25.0,60.0,100,0,0,93
2026-05-23 22:33:37.139036,25.0,60.0,100,0,0,93
2026-05-23 22:33:38.165693,25.0,60.0,99,0,0,93
2026-05-23 22:33:39.129654,25.0,60.0,100,0,0,93
2026-05-23 22:33:40.168135,25.0,60.0,100,0,0,93
2026-05-23 22:33:41.165952,25.0,60.0,100,0,0,93
2026-05-23 22:33:42.202257,25.0,60.0,99,0,0,93
2026-05-23 22:33:43.193379,25.0,60.0,100,0,0,93
2026-05-23 22:33:44.236518,25.0,60.0,100,0,0,93
2026-05-23 22:33:45.224519,25.0,60.0,100,0,0,93
2026-05-23 22:33:46.273807,25.0,60.0,100,0,0,93
2026-05-23 22:33:47.297633,25.0,60.0,100,0,0,93
2026-05-23 22:33:48.324160,25.0,60.0,99,0,0,93
2026-05-23 22:33:49.323410,25.0,60.0,100,0,0,93
2026-05-23 22:33:50.321087,25.0,60.0,100,0,0,93
2026-05-23 22:33:51.313314,25.0,60.0,100,0,0,93
2026-05-23 22:33:52.343285,25.0,60.0,100,0,0,93
2026-05-23 22:33:53.378630,25.0,60.0,100,0,0,93
2026-05-23 22:33:54.394978,25.0,60.0,100,0,0,93
2026-05-23 22:33:55.396449,25.0,60.0,100,0,0,93
2026-05-23 22:33:56.399305,25.0,60.0,98,0,0,93
2026-05-23 22:33:57.418278,25.0,60.0,100,0,0,93
2026-05-23 22:33:58.420948,25.0,60.0,100,0,0,93
2026-05-23 22:33:59.441250,25.0,60.0,100,0,0,93
2026-05-23 22:34:00.443370,25.0,60.0,99,0,0,93
2026-05-23 22:34:01.463008,25.0,60.0,100,0,0,93
2026-05-23 22:34:02.469047,25.0,60.0,100,0,0,93
2026-05-23 22:34:03.476482,25.0,60.0,100,0,0,93
2026-05-23 22:34:04.495087,25.0,60.0,100,0,0,93
2026-05-23 22:34:05.497144,25.0,60.0,100,0,0,93
2026-05-23 22:34:06.536041,25.0,60.0,100,0,0,93
2026-05-23 22:34:07.535988,25.0,60.0,100,0,0,93
2026-05-23 22:34:08.545895,25.0,60.0,99,0,0,93
2026-05-23 22:34:09.558136,25.0,60.0,100,0,0,93
2026-05-23 22:34:10.585411,25.0,60.0,100,0,0,93
2026-05-23 22:34:11.563938,25.0,60.0,100,0,0,93
2026-05-23 22:34:12.587123,25.0,60.0,99,0,0,93
2026-05-23 22:34:13.588816,25.0,60.0,100,0,0,93
2026-05-23 22:34:14.601080,25.0,60.0,100,0,0,93
2026-05-23 22:34:15.603825,25.0,60.0,100,0,0,93
2026-05-23 22:34:16.635937,25.0,60.0,98,0,0,93
2026-05-23 22:34:17.645948,25.0,60.0,100,0,0,93
2026-05-23 22:34:18.634292,25.0,60.0,100,0,0,93
2026-05-23 22:34:19.668190,25.0,60.0,100,0,0,93
2026-05-23 22:34:20.690369,25.0,60.0,100,0,0,93
2026-05-23 22:34:21.723421,25.0,60.0,100,0,0,93
2026-05-23 22:34:22.748745,25.0,60.0,99,0,0,93
2026-05-23 22:34:23.751840,25.0,60.0,100,0,0,93
