TIME,TEMP,HUM,SOIL,PUMP,FAN,LED
2026-05-24 13:26:14.832652,25.0,63.0,100,0,0,0
2026-05-24 13:26:15.801241,25.0,63.0,99,0,0,0
2026-05-24 13:26:16.809951,25.0,63.0,100,0,43,0
2026-05-24 13:26:17.800327,25.0,63.0,100,0,71,0
2026-05-24 13:26:18.805862,25.0,63.0,100,0,71,34
2026-05-24 13:26:19.833372,25.0,63.0,96,0,71,34
2026-05-24 13:26:20.844891,25.0,63.0,99,0,156,34
2026-05-24 13:26:22.010272,25.0,63.0,100,0,214,34
2026-05-24 13:26:22.844944,25.0,63.0,98,0,226,34
2026-05-24 13:26:23.858032,25.0,63.0,99,0,265,34
2026-05-24 13:26:24.935602,25.0,63.0,100,0,218,34
2026-05-24 13:26:25.916875,25.0,63.0,99,0,187,34
2026-05-24 13:26:26.918051,25.0,63.0,100,0,179,34
2026-05-24 13:26:27.972159,25.0,63.0,99,0,179,34
2026-05-24 13:26:28.971473,25.0,63.0,100,0,179,34
2026-05-24 13:26:29.973411,25.0,63.0,97,0,179,34
2026-05-24 13:26:31.037328,25.0,63.0,99,0,179,34
2026-05-24 13:26:32.049432,25.0,63.0,99,0,160,34
2026-05-24 13:26:33.103631,25.0,63.0,100,0,160,34
2026-05-24 13:26:34.104344,25.0,63.0,100,0,160,34
2026-05-24 13:26:35.104487,25.0,63.0,100,0,160,34
2026-05-24 13:26:36.165222,25.0,62.0,98,0,160,34
2026-05-24 13:26:37.162301,25.0,62.0,99,0,160,34
2026-05-24 13:26:38.155324,25.0,60.0,99,0,156,34
2026-05-24 13:26:39.161882,25.0,59.0,100,0,133,34
2026-05-24 13:26:40.156845,25.0,59.0,99,0,133,34
2026-05-24 13:26:41.157920,25.0,59.0,100,0,133,34
2026-05-24 13:26:42.168992,25.0,57.0,99,0,133,34
2026-05-24 13:26:43.221650,25.0,57.0,100,0,133,34
2026-05-24 13:26:44.217034,25.0,56.0,99,0,133,34
2026-05-24 13:26:45.289761,25.0,56.0,99,0,133,34
2026-05-24 13:26:46.289801,25.0,56.0,99,0,133,34
2026-05-24 13:26:47.354630,25.0,54.0,100,0,133,34
2026-05-24 13:26:48.345853,25.0,54.0,99,0,106,34
2026-05-24 13:26:49.429834,25.0,54.0,100,0,106,34
2026-05-24 13:26:50.430759,25.0,53.0,99,0,106,34
2026-05-24 13:26:51.485328,25.0,53.0,99,0,106,34
2026-05-24 13:26:52.495890,25.0,53.0,98,0,106,34
2026-05-24 13:26:53.536878,25.0,52.0,99,0,106,34
2026-05-24 13:26:54.536426,25.0,52.0,99,0,106,34
2026-05-24 13:26:55.592482,25.0,50.0,100,0,106,34
2026-05-24 13:26:56.592539,25.0,50.0,99,0,106,34
2026-05-24 13:26:57.613698,25.0,50.0,100,0,106,34
2026-05-24 13:26:58.602090,25.0,50.0,100,0,98,34
2026-05-24 13:26:59.609085,25.0,50.0,100,0,94,34
2026-05-24 13:27:00.820026,25.0,50.0,99,0,82,34
2026-05-24 13:27:01.601118,25.0,50.0,100,0,78,34
2026-05-24 13:27:02.606447,25.0,50.0,99,0,90,34
2026-05-24 13:27:03.617438,25.0,50.0,100,0,94,34
2026-05-24 13:27:04.602848,25.0,50.0,99,0,94,34
2026-05-24 13:27:05.620029,25.0,50.0,100,0,98,34
2026-05-24 13:27:06.600826,25.0,50.0,100,0,109,34
2026-05-24 13:27:07.601768,25.0,50.0,100,0,109,34
2026-05-24 13:27:08.604595,25.0,50.0,98,0,109,34
2026-05-24 13:27:09.615911,25.0,50.0,99,0,109,34
2026-05-24 13:27:10.655784,25.0,50.0,98,0,109,34
2026-05-24 13:27:11.656199,25.0,50.0,100,0,109,34
2026-05-24 13:27:12.707826,25.0,50.0,100,0,109,34
2026-05-24 13:27:13.708053,25.0,50.0,100,0,109,34
2026-05-24 13:27:14.708916,25.0,50.0,99,0,109,34
2026-05-24 13:27:15.717109,25.0,50.0,99,0,109,34
2026-05-24 13:27:16.708628,25.0,50.0,99,0,109,34
2026-05-24 13:27:17.785609,25.0,50.0,100,0,109,34
2026-05-24 13:27:18.784300,25.0,50.0,100,0,109,34
2026-05-24 13:27:19.796001,25.0,50.0,100,0,109,34
2026-05-24 13:27:20.794268,25.0,50.0,98,0,109,34
2026-05-24 13:27:21.846547,25.0,50.0,100,0,109,34
2026-05-24 13:27:22.846222,25.0,50.0,99,0,109,34
2026-05-24 13:27:23.898178,25.0,50.0,100,0,109,34
2026-05-24 13:27:24.898005,25.0,50.0,98,0,109,34
2026-05-24 13:27:25.962381,25.0,50.0,98,0,109,34
2026-05-24 13:27:26.953011,25.0,50.0,100,0,109,34
2026-05-24 13:27:28.041738,25.0,50.0,100,0,109,34
2026-05-24 13:27:29.041772,25.0,50.0,98,0,109,34
2026-05-24 13:27:30.093130,25.0,50.0,99,0,109,34
2026-05-24 13:27:31.104570,25.0,50.0,99,0,109,34
2026-05-24 13:27:32.140982,25.0,50.0,99,0,109,34
2026-05-24 13:27:33.161913,25.0,50.0,99,0,109,34
2026-05-24 13:27:34.193592,25.0,50.0,98,0,109,34
2026-05-24 13:27:35.252308,25.0,50.0,100,0,109,34
2026-05-24 13:27:36.315183,25.0,50.0,100,0,109,34
2026-05-24 13:27:37.405444,25.0,50.0,99,0,109,34
2026-05-24 13:27:38.401888,25.0,50.0,100,0,109,34
2026-05-24 13:27:39.404393,25.0,50.0,99,0,109,34
2026-05-24 13:27:40.455805,25.0,50.0,100,0,109,34
