TIME,TEMP,HUM,SOIL,PUMP,FAN,LED
2026-05-25 13:09:14.373965,27.0,54.0,99,0,0,0
2026-05-25 13:09:15.383913,27.0,54.0,100,0,0,0
2026-05-25 13:09:17.273578,27.0,54.0,96,0,0,0
2026-05-25 13:09:18.326525,27.0,54.0,100,0,0,0
2026-05-25 13:09:19.374290,27.0,54.0,99,0,0,93
2026-05-25 13:09:20.543389,27.0,54.0,99,0,0,99
2026-05-25 13:09:21.677336,27.0,54.0,99,0,0,53
2026-05-25 13:09:22.758229,27.0,54.0,100,0,0,96
2026-05-25 13:09:23.821018,27.0,54.0,100,0,20,96
2026-05-25 13:09:24.889892,27.0,54.0,100,0,234,96
2026-05-25 13:09:25.898936,27.0,54.0,98,0,311,96
2026-05-25 13:09:27.013276,27.0,54.0,97,0,195,96
2026-05-25 13:09:28.131110,27.0,54.0,99,0,183,96
2026-05-25 13:09:29.249337,27.0,54.0,100,0,206,96
2026-05-25 13:09:30.264445,27.0,54.0,99,0,168,96
2026-05-25 13:09:31.322319,27.0,54.0,100,0,63,96
2026-05-25 13:09:32.370777,27.0,54.0,100,0,90,96
2026-05-25 13:09:33.385607,27.0,54.0,100,0,90,96
2026-05-25 13:09:34.464072,27.0,54.0,100,0,121,96
2026-05-25 13:09:35.674614,27.0,54.0,100,0,121,96
2026-05-25 13:09:36.702266,26.0,54.0,99,0,121,96
2026-05-25 13:09:37.725810,27.0,54.0,100,0,121,96
2026-05-25 13:09:38.758816,27.0,53.0,99,0,121,96
2026-05-25 13:09:39.781229,27.0,53.0,100,0,121,96
2026-05-25 13:09:40.796273,27.0,53.0,100,0,121,96
2026-05-25 13:09:41.860934,27.0,52.0,100,0,121,96
2026-05-25 13:09:55.132219,26.0,52.0,98,0,121,96
2026-05-25 13:09:56.225686,27.0,50.0,100,0,121,96
2026-05-25 13:09:57.284446,26.0,50.0,99,0,121,96
2026-05-25 13:09:58.331144,26.0,50.0,100,0,121,96
2026-05-25 13:09:59.385986,26.0,49.0,99,0,121,96
2026-05-25 13:10:00.379778,26.0,49.0,100,0,121,96
2026-05-25 13:10:01.466258,26.0,49.0,99,0,121,96
2026-05-25 13:10:02.508379,26.0,49.0,100,0,121,96
2026-05-25 13:10:03.555663,26.0,49.0,99,0,121,96
2026-05-25 13:10:04.610494,26.0,49.0,100,0,121,96
2026-05-25 13:10:05.736183,26.0,49.0,98,0,121,96
2026-05-25 13:10:06.795487,26.0,49.0,100,0,121,96
2026-05-25 13:10:07.774629,26.0,49.0,98,0,121,96
2026-05-25 13:10:08.802328,26.0,47.0,100,0,121,96
2026-05-25 13:10:09.795838,26.0,47.0,100,0,121,96
2026-05-25 13:10:10.872474,26.0,47.0,100,0,121,96
2026-05-25 13:10:11.945290,26.0,47.0,98,0,121,96
2026-05-25 13:10:13.014386,26.0,47.0,100,0,121,96
2026-05-25 13:10:14.008332,26.0,46.0,100,0,121,96
2026-05-25 13:10:15.042867,26.0,46.0,100,0,121,96
2026-05-25 13:10:16.081191,26.0,46.0,99,0,121,96
2026-05-25 13:10:17.133200,26.0,46.0,100,0,121,96
2026-05-25 13:10:18.166516,26.0,46.0,99,0,121,96
2026-05-25 13:10:19.201433,26.0,44.0,100,0,121,96
2026-05-25 13:10:20.249521,26.0,45.0,99,0,121,96
2026-05-25 13:10:21.253018,26.0,44.0,100,0,121,96
2026-05-25 13:10:22.241146,26.0,45.0,99,0,121,96
2026-05-25 13:10:23.610088,26.0,45.0,100,0,121,96
2026-05-25 13:10:24.695888,26.0,45.0,100,0,121,96
2026-05-25 13:10:25.711676,26.0,45.0,100,0,121,96
2026-05-25 13:10:26.790247,26.0,45.0,99,0,121,96
2026-05-25 13:10:27.825794,26.0,45.0,100,0,121,96
2026-05-25 13:10:28.974750,26.0,43.0,99,0,121,96
2026-05-25 13:10:29.974331,26.0,43.0,100,0,121,96
2026-05-25 13:10:30.919028,26.0,43.0,99,0,121,96
2026-05-25 13:10:32.577446,26.0,43.0,100,0,121,96
2026-05-25 13:10:33.856384,26.0,43.0,99,0,121,96
2026-05-25 13:10:34.816496,26.0,43.0,100,0,121,96
2026-05-25 13:10:35.904173,26.0,43.0,99,0,121,96
2026-05-25 13:10:36.924624,26.0,43.0,100,0,121,96
2026-05-25 13:10:37.958340,26.0,42.0,99,0,121,96
2026-05-25 13:10:38.969009,26.0,42.0,100,0,121,96
2026-05-25 13:10:39.994179,26.0,42.0,98,0,121,96
2026-05-25 13:10:41.041807,26.0,42.0,100,0,121,96
2026-05-25 13:10:42.076758,26.0,42.0,99,0,121,96
2026-05-25 13:10:43.136385,26.0,40.0,100,0,121,96
2026-05-25 13:10:44.187673,26.0,40.0,99,0,121,96
2026-05-25 13:10:45.252075,26.0,40.0,100,0,121,96
