TIME,TEMP,HUM,SOIL,PUMP,FAN,LED
2026-05-25 13:07:41.081694,27.0,54.0,0,0,0,0
2026-05-25 13:07:42.094806,27.0,54.0,99,0,0,0
2026-05-25 13:07:50.315920,27.0,54.0,99,0,0,0
2026-05-25 13:07:51.325487,27.0,54.0,100,0,0,0
2026-05-25 13:07:52.401264,27.0,53.0,99,0,47,0
2026-05-25 13:07:53.675947,27.0,53.0,97,0,0,0
2026-05-25 13:07:54.417047,27.0,53.0,98,0,0,0
2026-05-25 13:07:55.429559,27.0,53.0,99,0,0,0
2026-05-25 13:07:56.516062,27.0,53.0,99,0,0,88
2026-05-25 13:07:57.524543,27.0,53.0,100,0,0,88
2026-05-25 13:07:58.612273,27.0,53.0,100,0,0,88
2026-05-25 13:07:59.603548,27.0,53.0,100,0,0,88
2026-05-25 13:08:00.634644,27.0,53.0,100,0,0,88
2026-05-25 13:08:01.636460,27.0,53.0,100,0,0,88
2026-05-25 13:08:02.776433,27.0,53.0,100,0,0,88
2026-05-25 13:08:03.841512,27.0,53.0,100,0,0,88
2026-05-25 13:08:04.891123,27.0,53.0,100,0,0,88
2026-05-25 13:08:05.922591,27.0,53.0,99,0,0,88
2026-05-25 13:08:06.932798,27.0,53.0,99,0,0,88
2026-05-25 13:08:07.946922,27.0,53.0,99,0,0,88
2026-05-25 13:08:08.967910,27.0,53.0,100,0,0,88
2026-05-25 13:08:09.962071,27.0,53.0,99,0,0,88
2026-05-25 13:08:10.956593,27.0,53.0,96,0,0,88
2026-05-25 13:08:11.960314,27.0,53.0,98,0,0,88
2026-05-25 13:08:13.024086,27.0,53.0,100,0,0,88
2026-05-25 13:08:14.128061,27.0,53.0,100,0,0,88
2026-05-25 13:08:15.154042,27.0,53.0,99,0,0,88
2026-05-25 13:08:16.195456,27.0,53.0,99,0,0,88
2026-05-25 13:08:17.225062,27.0,53.0,98,0,0,88
2026-05-25 13:08:18.340157,27.0,53.0,100,0,0,88
2026-05-25 13:08:19.375150,27.0,53.0,98,0,0,88
2026-05-25 13:08:20.419484,27.0,53.0,99,0,0,88
2026-05-25 13:08:21.427981,27.0,53.0,100,0,0,88
2026-05-25 13:08:22.511539,27.0,53.0,99,0,0,88
2026-05-25 13:08:23.554502,27.0,53.0,100,0,0,88
2026-05-25 13:08:24.539344,27.0,53.0,99,0,0,88
2026-05-25 13:08:25.620352,27.0,53.0,99,0,0,88
2026-05-25 13:08:26.652453,27.0,53.0,99,0,0,88
2026-05-25 13:08:27.637931,27.0,53.0,99,0,0,88
2026-05-25 13:08:28.773989,27.0,54.0,96,0,0,88
2026-05-25 13:08:29.868743,27.0,53.0,100,0,0,88
2026-05-25 13:08:30.932603,27.0,53.0,99,0,0,88
2026-05-25 13:08:32.059396,27.0,53.0,99,0,0,88
2026-05-25 13:08:33.111871,27.0,53.0,99,0,0,88
2026-05-25 13:08:34.192174,27.0,53.0,99,0,0,88
2026-05-25 13:08:35.235224,27.0,53.0,96,0,0,88
2026-05-25 13:08:36.319626,27.0,53.0,100,0,0,88
2026-05-25 13:08:37.331035,27.0,53.0,99,0,0,88
2026-05-25 13:08:38.400698,27.0,53.0,100,0,0,88
2026-05-25 13:08:39.443928,27.0,53.0,99,0,0,88
2026-05-25 13:08:40.481401,27.0,53.0,100,0,0,88
2026-05-25 13:08:41.457495,27.0,53.0,100,0,0,88
2026-05-25 13:08:42.500171,27.0,53.0,100,0,0,88
2026-05-25 13:08:43.578184,27.0,53.0,99,0,0,88
2026-05-25 13:08:44.660321,27.0,53.0,100,0,0,88
2026-05-25 13:08:45.710163,27.0,53.0,99,0,0,88
2026-05-25 13:08:46.737514,26.0,53.0,100,0,0,88
2026-05-25 13:08:47.790526,27.0,53.0,99,0,0,88
2026-05-25 13:08:48.813188,27.0,53.0,100,0,0,88
2026-05-25 13:08:49.916028,27.0,53.0,99,0,0,88
2026-05-25 13:08:50.978680,27.0,53.0,99,0,0,88
2026-05-25 13:08:51.945296,27.0,53.0,99,0,0,88
2026-05-25 13:08:53.001410,27.0,53.0,98,0,0,88
2026-05-25 13:08:54.069123,27.0,53.0,99,0,0,88
2026-05-25 13:08:55.094934,27.0,53.0,100,0,0,88
2026-05-25 13:08:56.201150,27.0,53.0,100,0,0,88
2026-05-25 13:08:57.188371,27.0,53.0,100,0,0,88
