TIME,TEMP,HUM,SOIL,PUMP,FAN,LED
2026-05-23 21:48:12.386834,25.0,60.0,99,0,0,0
2026-05-23 21:48:13.621117,25.0,60.0,100,0,0,0
2026-05-23 21:48:14.648334,25.0,60.0,100,0,0,0
2026-05-23 21:48:15.668436,25.0,60.0,100,0,0,0
2026-05-23 21:48:16.697441,25.0,60.0,100,0,0,0
2026-05-23 21:48:17.786924,25.0,60.0,100,0,156,0
2026-05-23 21:48:18.981198,25.0,60.0,100,0,501,0
2026-05-23 21:48:19.725231,25.0,60.0,100,0,0,0
2026-05-23 21:48:20.739771,25.0,60.0,100,0,0,0
2026-05-23 21:48:21.739999,25.0,60.0,100,0,0,0
2026-05-23 21:48:22.775600,25.0,61.0,100,0,431,0
2026-05-23 21:48:23.779040,25.0,61.0,100,0,0,0
2026-05-23 21:48:24.826092,25.0,61.0,100,0,0,41
2026-05-23 21:48:25.818616,25.0,61.0,100,0,0,100
2026-05-23 21:48:26.898235,25.0,61.0,100,0,0,78
2026-05-23 21:48:27.855583,25.0,61.0,100,0,0,74
2026-05-23 21:48:28.852403,25.0,61.0,100,0,0,74
2026-05-23 21:48:29.934980,25.0,61.0,99,0,0,74
2026-05-23 21:48:30.964271,25.0,61.0,100,0,0,74
2026-05-23 21:48:31.969548,25.0,61.0,100,0,0,74
2026-05-23 21:48:32.986509,25.0,61.0,99,64,0,74
2026-05-23 21:48:33.989753,25.0,61.0,100,0,0,74
2026-05-23 21:48:35.026455,25.0,61.0,99,0,0,74
2026-05-23 21:48:35.994434,25.0,61.0,100,0,0,74
2026-05-23 21:48:37.036365,25.0,61.0,100,0,0,74
2026-05-23 21:48:38.043133,25.0,61.0,100,0,0,74
2026-05-23 21:48:39.043773,25.0,61.0,99,0,0,74
2026-05-23 21:48:40.088983,25.0,61.0,99,0,0,74
2026-05-23 21:48:41.112028,25.0,61.0,99,0,625,74
2026-05-23 21:48:42.101022,25.0,61.0,100,0,663,74
2026-05-23 21:48:43.142004,25.0,60.0,100,0,701,74
2026-05-23 21:48:44.122748,25.0,60.0,100,0,709,74
2026-05-23 21:48:45.140825,25.0,61.0,100,0,745,74
2026-05-23 21:48:46.132742,25.0,61.0,99,0,811,74
2026-05-23 21:48:47.161326,25.0,61.0,100,0,849,74
2026-05-23 21:48:48.231192,25.0,61.0,100,0,886,74
2026-05-23 21:48:49.271372,25.0,61.0,100,0,924,74
2026-05-23 21:48:50.299601,25.0,61.0,99,0,962,74
2026-05-23 21:48:51.367150,25.0,61.0,99,0,1000,74
2026-05-23 21:48:52.463859,25.0,61.0,100,0,1038,74
2026-05-23 21:48:53.431671,25.0,61.0,100,0,1075,74
2026-05-23 21:48:54.518493,25.0,61.0,100,0,1113,74
