TIME,TEMP,HUM,SOIL,PUMP,FAN,LED
2026-05-24 13:27:53.582149,25.0,52.0,100,0,0,0
2026-05-24 13:27:54.589010,25.0,52.0,100,0,0,0
2026-05-24 13:27:55.586602,25.0,52.0,99,0,0,0
2026-05-24 13:27:56.595501,25.0,52.0,100,0,0,31
2026-05-24 13:27:57.587826,25.0,52.0,100,0,0,31
2026-05-24 13:27:58.598161,25.0,52.0,99,0,0,31
2026-05-24 13:27:59.667664,25.0,52.0,99,0,0,31
2026-05-24 13:28:00.728922,25.0,52.0,99,0,0,31
2026-05-24 13:28:01.802940,25.0,52.0,99,0,0,31
2026-05-24 13:28:02.918386,25.0,52.0,99,0,0,31
2026-05-24 13:28:03.919088,25.0,52.0,99,0,0,31
2026-05-24 13:28:04.944778,25.0,52.0,100,0,250,31
2026-05-24 13:28:05.920108,25.0,52.0,100,0,208,31
2026-05-24 13:28:07.005492,25.0,52.0,100,0,221,31
2026-05-24 13:28:08.006325,25.0,52.0,99,0,233,31
2026-05-24 13:28:09.006782,25.0,52.0,98,0,246,31
2026-05-24 13:28:10.014215,25.0,52.0,99,0,259,31
2026-05-24 13:28:11.059348,25.0,52.0,100,0,271,31
2026-05-24 13:28:12.057820,25.0,50.0,100,0,284,31
2026-05-24 13:28:13.113468,25.0,50.0,99,0,237,31
2026-05-24 13:28:14.113416,25.0,50.0,99,0,246,31
2026-05-24 13:28:15.183155,25.0,50.0,99,0,255,31
2026-05-24 13:28:16.168533,25.0,49.0,99,0,264,31
2026-05-24 13:28:17.260715,25.0,47.0,99,0,243,31
2026-05-24 13:28:18.260775,25.0,47.0,99,0,191,31
2026-05-24 13:28:19.314796,25.0,46.0,100,0,194,31
2026-05-24 13:28:20.324357,25.0,46.0,100,0,168,31
2026-05-24 13:28:21.373760,25.0,46.0,98,0,170,31
2026-05-24 13:28:22.368767,25.0,45.0,99,0,172,31
2026-05-24 13:28:23.427718,25.0,45.0,100,0,0,31
2026-05-24 13:28:24.427426,25.0,45.0,99,0,0,31
2026-05-24 13:28:25.486807,25.0,45.0,100,0,0,31
2026-05-24 13:28:26.478381,25.0,45.0,100,0,0,31
2026-05-24 13:28:27.487655,25.0,45.0,99,0,0,31
2026-05-24 13:28:28.489042,25.0,45.0,100,0,0,31
2026-05-24 13:28:29.489895,25.0,45.0,100,0,0,31
2026-05-24 13:28:30.491050,25.0,43.0,100,0,0,31
2026-05-24 13:28:31.491127,25.0,43.0,99,0,0,31
2026-05-24 13:28:32.503258,25.0,43.0,100,0,0,31
2026-05-24 13:28:33.494534,25.0,43.0,100,0,0,31
2026-05-24 13:28:34.529418,25.0,43.0,99,0,0,87
2026-05-24 13:28:35.491652,25.0,43.0,99,0,0,100
2026-05-24 13:28:36.588509,25.0,43.0,99,0,0,100
2026-05-24 13:28:37.575058,25.0,43.0,100,0,0,100
2026-05-24 13:28:38.576255,25.0,43.0,99,0,0,100
2026-05-24 13:28:39.629885,25.0,43.0,99,0,0,100
2026-05-24 13:28:40.684776,25.0,43.0,100,0,0,100
2026-05-24 13:28:41.748001,25.0,43.0,100,0,0,100
2026-05-24 13:28:42.739735,25.0,43.0,98,0,0,100
2026-05-24 13:28:43.740631,25.0,43.0,99,0,0,100
2026-05-24 13:28:44.796602,25.0,43.0,99,0,0,100
2026-05-24 13:28:45.796279,25.0,43.0,100,0,0,100
2026-05-24 13:28:46.852105,25.0,43.0,99,0,0,100
2026-05-24 13:28:47.851135,25.0,43.0,100,0,0,100
2026-05-24 13:28:48.922209,25.0,43.0,99,0,0,100
2026-05-24 13:28:49.921063,25.0,43.0,100,0,0,100
2026-05-24 13:28:50.975778,25.0,43.0,99,0,0,100
2026-05-24 13:28:51.983079,25.0,43.0,100,0,0,100
2026-05-24 13:28:53.027905,25.0,45.0,98,0,0,100
2026-05-24 13:28:54.027667,25.0,45.0,100,0,0,100
2026-05-24 13:28:55.079028,25.0,45.0,100,0,0,100
2026-05-24 13:28:56.087433,25.0,45.0,99,0,0,100
2026-05-24 13:28:57.143520,25.0,45.0,99,0,0,100
2026-05-24 13:28:58.140060,25.0,45.0,100,0,0,100
2026-05-24 13:28:59.221879,25.0,45.0,98,0,0,100
2026-05-24 13:29:00.224976,25.0,45.0,100,0,0,100
2026-05-24 13:29:01.275358,25.0,45.0,99,0,0,100
2026-05-24 13:29:02.276324,25.0,45.0,100,0,0,100
2026-05-24 13:29:03.340995,25.0,45.0,99,0,0,100
2026-05-24 13:29:04.332104,25.0,45.0,100,0,0,100
2026-05-24 13:29:05.435339,25.0,45.0,100,0,0,100
2026-05-24 13:29:06.431096,25.0,45.0,100,0,0,100
2026-05-24 13:29:07.631681,25.0,45.0,100,0,0,100
2026-05-24 13:29:08.503277,25.0,45.0,100,0,0,100
2026-05-24 13:29:09.495502,25.0,45.0,96,0,0,100
2026-05-24 13:29:10.494635,25.0,45.0,99,0,0,100
2026-05-24 13:29:11.491851,25.0,45.0,99,0,0,100
2026-05-24 13:29:12.550333,25.0,45.0,100,0,0,100
2026-05-24 13:29:13.552075,25.0,45.0,97,0,0,100
2026-05-24 13:29:14.618484,25.0,46.0,100,0,0,100
2026-05-24 13:29:15.618880,25.0,46.0,99,0,0,100
2026-05-24 13:29:16.696282,25.0,46.0,100,0,0,100
2026-05-24 13:29:17.852286,25.0,46.0,99,0,0,100
2026-05-24 13:29:18.747868,25.0,46.0,99,0,0,100
2026-05-24 13:29:19.748559,25.0,46.0,99,0,0,100
2026-05-24 13:29:20.814487,25.0,46.0,99,0,0,100
2026-05-24 13:29:21.806230,25.0,46.0,99,0,0,100
2026-05-24 13:29:22.808357,25.0,46.0,100,0,0,100
2026-05-24 13:29:23.809106,25.0,46.0,99,0,0,100
2026-05-24 13:29:24.864371,25.0,46.0,100,0,0,100
2026-05-24 13:29:25.863800,25.0,47.0,99,0,0,100
2026-05-24 13:29:26.915700,25.0,47.0,100,0,0,100
2026-05-24 13:29:27.916013,25.0,47.0,99,0,0,100
2026-05-24 13:29:28.968690,25.0,47.0,100,0,0,100
2026-05-24 13:29:29.969438,25.0,47.0,97,0,0,100
2026-05-24 13:29:31.033487,25.0,47.0,99,0,0,100
2026-05-24 13:29:32.019305,25.0,47.0,100,0,0,100
