TIME,TEMP,HUM,SOIL,PUMP,FAN,LED
2026-05-23 23:06:21.778719,24.0,73.0,99,0,0,0
2026-05-23 23:06:22.756089,24.0,73.0,99,0,0,0
2026-05-23 23:06:23.665647,24.0,73.0,99,0,0,0
2026-05-23 23:06:24.652727,24.0,73.0,99,0,0,0
2026-05-23 23:06:25.770106,24.0,73.0,99,0,0,19
2026-05-23 23:06:26.889884,24.0,73.0,99,0,0,78
2026-05-23 23:06:27.965183,24.0,73.0,99,0,0,64
2026-05-23 23:06:28.917844,24.0,73.0,99,0,0,48
2026-05-23 23:06:29.794036,24.0,73.0,100,0,0,48
2026-05-23 23:06:30.715333,24.0,73.0,99,0,0,48
2026-05-23 23:06:31.799551,24.0,73.0,100,0,0,48
2026-05-23 23:06:32.781886,24.0,73.0,99,0,0,48
2026-05-23 23:06:33.828948,24.0,73.0,99,0,0,48
2026-05-23 23:06:34.799318,24.0,73.0,99,0,0,48
2026-05-23 23:06:35.812667,24.0,73.0,99,0,0,48
2026-05-23 23:06:36.833120,24.0,73.0,100,0,0,48
2026-05-23 23:06:37.824648,24.0,73.0,99,0,401,48
2026-05-23 23:06:38.987675,24.0,73.0,99,0,0,48
2026-05-23 23:06:39.912822,24.0,73.0,99,0,0,48
2026-05-23 23:06:40.977787,24.0,73.0,99,0,0,57
2026-05-23 23:06:42.042788,24.0,73.0,99,0,0,57
2026-05-23 23:06:43.007030,24.0,73.0,100,0,0,57
2026-05-23 23:06:44.039381,24.0,73.0,100,0,0,57
2026-05-23 23:06:45.111445,24.0,73.0,99,0,0,57
2026-05-23 23:06:46.123092,24.0,73.0,100,0,0,57
2026-05-23 23:06:47.149437,24.0,73.0,99,0,0,57
2026-05-23 23:06:48.161654,24.0,73.0,99,0,0,57
2026-05-23 23:06:49.175103,24.0,73.0,100,0,0,57
2026-05-23 23:06:50.181760,24.0,73.0,100,0,0,57
2026-05-23 23:06:51.185348,24.0,73.0,99,0,0,57
2026-05-23 23:06:52.199310,24.0,73.0,100,0,0,57
2026-05-23 23:06:53.173608,24.0,73.0,100,0,0,57
2026-05-23 23:06:54.268843,24.0,73.0,100,0,0,57
2026-05-23 23:06:55.207998,24.0,73.0,99,0,0,57
2026-05-23 23:06:56.200742,24.0,73.0,100,0,0,57
2026-05-23 23:06:57.264934,24.0,73.0,99,0,0,57
2026-05-23 23:06:58.280139,24.0,73.0,99,0,685,57
2026-05-23 23:06:59.282663,24.0,73.0,99,0,726,57
2026-05-23 23:07:00.277336,24.0,73.0,97,0,768,57
2026-05-23 23:07:01.305986,24.0,73.0,99,0,809,57
2026-05-23 23:07:02.309920,24.0,73.0,99,0,851,57
2026-05-23 23:07:03.310911,24.0,73.0,99,0,892,57
2026-05-23 23:07:04.427276,24.0,73.0,97,0,933,57
2026-05-23 23:07:05.383745,24.0,73.0,98,0,975,57
2026-05-23 23:07:06.393960,24.0,73.0,99,0,1016,57
2026-05-23 23:07:07.425771,24.0,73.0,100,0,1058,57
2026-05-23 23:07:08.427306,24.0,73.0,99,0,1099,57
2026-05-23 23:07:09.453789,24.0,73.0,99,0,1140,57
2026-05-23 23:07:10.451813,24.0,73.0,98,0,1182,57
2026-05-23 23:07:11.460215,24.0,73.0,98,0,1223,57
2026-05-23 23:07:12.450516,24.0,73.0,99,0,1265,57
2026-05-23 23:07:13.475051,24.0,73.0,99,0,1306,57
2026-05-23 23:07:14.496367,24.0,73.0,99,0,1347,57
2026-05-23 23:07:15.487319,24.0,73.0,99,0,1389,57
2026-05-23 23:07:16.504290,24.0,73.0,98,0,1400,57
2026-05-23 23:07:17.509026,24.0,73.0,99,0,1400,57
2026-05-23 23:07:18.505762,24.0,73.0,98,0,1400,57
2026-05-23 23:07:19.510626,24.0,73.0,99,0,1400,57
2026-05-23 23:07:20.533455,24.0,73.0,96,0,1400,57
2026-05-23 23:07:21.508123,24.0,73.0,99,0,1400,57
2026-05-23 23:07:22.519937,24.0,73.0,98,0,1400,57
2026-05-23 23:07:23.526474,24.0,73.0,98,0,1400,57
2026-05-23 23:07:24.536059,24.0,73.0,98,0,1400,57
2026-05-23 23:07:25.538879,24.0,73.0,99,0,1400,57
2026-05-23 23:07:26.558543,24.0,73.0,99,0,1400,57
2026-05-23 23:07:27.544510,24.0,73.0,100,0,1400,57
2026-05-23 23:07:28.537954,24.0,73.0,97,0,1400,57
2026-05-23 23:07:29.539079,24.0,73.0,98,0,1400,57
2026-05-23 23:07:30.583504,24.0,73.0,99,0,1400,57
2026-05-23 23:07:31.581017,24.0,73.0,98,0,1400,57
2026-05-23 23:07:32.566558,24.0,71.0,99,0,1400,57
2026-05-23 23:07:33.606312,24.0,70.0,99,0,1371,57
2026-05-23 23:07:34.615945,24.0,69.0,99,0,1379,57
2026-05-23 23:07:35.615369,24.0,66.0,99,0,1385,57
2026-05-23 23:07:36.637378,24.0,63.0,99,0,1330,57
2026-05-23 23:07:37.650874,24.0,60.0,98,0,1269,57
2026-05-23 23:07:38.686923,24.0,59.0,99,0,1203,57
2026-05-23 23:07:39.704545,24.0,57.0,99,0,1191,57
2026-05-23 23:07:40.710370,24.0,55.0,98,0,1148,57
2026-05-23 23:07:41.704000,23.0,53.0,99,0,1101,57
2026-05-23 23:07:42.735983,23.0,53.0,99,0,1050,57
2026-05-23 23:07:43.746410,23.0,52.0,98,0,1056,57
2026-05-23 23:07:44.762992,23.0,50.0,97,0,1031,57
2026-05-23 23:07:45.769616,23.0,50.0,99,0,0,57
2026-05-23 23:07:46.771033,23.0,49.0,95,0,0,57
2026-05-23 23:07:47.789237,23.0,48.0,99,0,0,57
